NAME,CASTE,GENDER,CUTOFF_RANK,BRANCH,TUITION_FEE
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,FEMALE,10771,CSE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,MALE,2154,CSE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,FEMALE,2304,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,MALE,6640,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,FEMALE,7917,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,MALE,23780,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,FEMALE,31259,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,MALE,22922,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,FEMALE,26393,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,MALE,19888,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,FEMALE,25956,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,MALE,7736,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EWS,FEMALE,10234,ECE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,MALE,12737,EEE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,OC,FEMALE,22054,EEE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,MALE,56520,EEE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BC,FEMALE,109351,EEE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,MALE,38615,EEE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,SC,FEMALE,40692,EEE,140000
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ST,MALE,32596,EEE,140000
